date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:30:59	156140/156140	---M-Z	200	added ('OK')	text/html	etag:W/%2267e51794-261ec%22	https://prium.github.io/phoenix/v1.22.0/apps/e-commerce/landing/profile.html	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/apps/e-commerce/landing/profile.html	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:30:59	83896/83896	---M-Z	200	added ('OK')	text/html	etag:W/%2267e51791-147b8%22	https://prium.github.io/phoenix/v1.22.0/apps/e-commerce/landing/favourite-stores.html	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/apps/e-commerce/landing/favourite-stores.html	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:31:00	71084/71084	---M-Z	200	added ('OK')	text/html	etag:W/%2267e51791-115ac%22	https://prium.github.io/phoenix/v1.22.0/apps/e-commerce/landing/wishlist.html	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/apps/e-commerce/landing/wishlist.html	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:31:00	64427/64427	---M-Z	200	added ('OK')	text/html	etag:W/%2267e51791-fbab%22	https://prium.github.io/phoenix/v1.22.0/apps/e-commerce/landing/order-tracking.html	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/apps/e-commerce/landing/order-tracking.html	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:31:00	68376/68376	---M-Z	200	added ('OK')	text/html	etag:W/%2267e51792-10b18%22	https://prium.github.io/phoenix/v1.22.0/apps/e-commerce/landing/invoice.html	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/apps/e-commerce/landing/invoice.html	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:31:01	630826/630826	---M-Z	200	added ('OK')	text/html	etag:W/%2267e51792-9a02a%22	https://prium.github.io/phoenix/v1.22.0/apps/crm/analytics.html	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/apps/crm/analytics.html	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:31:01	730492/730492	---M-Z	200	added ('OK')	text/html	etag:W/%2267e51791-b257c%22	https://prium.github.io/phoenix/v1.22.0/apps/crm/deals.html	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/apps/crm/deals.html	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:31:01	741773/741773	---M-Z	200	added ('OK')	text/html	etag:W/%2267e51791-b518d%22	https://prium.github.io/phoenix/v1.22.0/apps/crm/deal-details.html	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/apps/crm/deal-details.html	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:31:02	668629/668629	---M-Z	200	added ('OK')	text/html	etag:W/%2267e51792-a33d5%22	https://prium.github.io/phoenix/v1.22.0/apps/crm/leads.html	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/apps/crm/leads.html	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:31:02	707483/707483	---M-Z	200	added ('OK')	text/html	etag:W/%2267e51792-acb9b%22	https://prium.github.io/phoenix/v1.22.0/apps/crm/lead-details.html	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/apps/crm/lead-details.html	(from https://prium.github.io/phoenix/v1.22.0/index.html)
